Tamano del vector, bytes, tiempo_local, tiempo_global, tiempo_dinamico
65536, 262144, 0.000659816,0.001182027,0.000681923,
131072, 524288, 0.001384444,0.000863874,0.001426812,
262144, 1048576, 0.002117599,0.001634322,0.002650116,
524288, 2097152, ,0.002848739,0.002593980,
1048576, 4194304, ,0.005407102,0.005586908,
2097152, 8388608, ,0.010090349,0.010197140,
4194304, 16777216, ,0.019390890,0.019679993,
8388608, 33554432, ,0.035494579,0.033332012,
16777216, 67108864, ,0.066979665,0.064280167,
33554432, 134217728, ,0.132984371,0.126433645,
67108864, 268435456, ,0.133012327,0.253701666,
