x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-5,00E+00;2,95E+10;2,25E+10;;7,03E+09;1,50E+16
-5,00E+00;2,95E+10;2,25E+10;;7,03E+09;1,50E+16
-4,99E+00;3,00E+10;2,25E+10;;7,53E+09;1,50E+16
-4,99E+00;2,95E+10;2,25E+10;;7,03E+09;1,50E+16
-4,98E+00;2,95E+10;2,25E+10;;7,03E+09;1,50E+16
-4,98E+00;3,00E+10;2,22E+10;;7,84E+09;1,48E+16
-4,97E+00;2,95E+10;2,22E+10;;7,34E+09;1,48E+16
-4,97E+00;3,00E+10;2,22E+10;;7,84E+09;1,48E+16
-4,96E+00;2,95E+10;2,22E+10;;7,34E+09;1,48E+16
-4,96E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,95E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,95E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,94E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,94E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,93E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,93E+00;2,90E+10;2,22E+10;;6,84E+09;1,48E+16
-4,92E+00;2,85E+10;2,19E+10;;6,65E+09;1,46E+16
-4,92E+00;2,85E+10;2,19E+10;;6,65E+09;1,46E+16
-4,91E+00;2,95E+10;2,19E+10;;7,65E+09;1,46E+16
-4,91E+00;2,85E+10;2,19E+10;;6,65E+09;1,46E+16
-4,90E+00;2,90E+10;2,19E+10;;7,15E+09;1,46E+16
-4,90E+00;2,85E+10;2,19E+10;;6,65E+09;1,46E+16
-4,89E+00;2,90E+10;2,16E+10;;7,46E+09;1,44E+16
-4,89E+00;2,85E+10;2,16E+10;;6,96E+09;1,44E+16
-4,88E+00;2,85E+10;2,16E+10;;6,96E+09;1,44E+16
-4,88E+00;2,85E+10;2,16E+10;;6,96E+09;1,44E+16
-4,87E+00;2,85E+10;2,16E+10;;6,96E+09;1,44E+16
-4,87E+00;2,80E+10;2,16E+10;;6,46E+09;1,44E+16
-4,86E+00;2,80E+10;2,16E+10;;6,46E+09;1,44E+16
-4,86E+00;2,85E+10;2,12E+10;;7,28E+09;1,41E+16
-4,85E+00;2,85E+10;2,09E+10;;7,59E+09;1,39E+16
-4,85E+00;2,80E+10;2,12E+10;;6,78E+09;1,41E+16
-4,84E+00;2,85E+10;2,09E+10;;7,59E+09;1,39E+16
-4,84E+00;2,75E+10;2,12E+10;;6,28E+09;1,41E+16
-4,83E+00;2,80E+10;2,12E+10;;6,78E+09;1,41E+16
-4,83E+00;2,80E+10;2,12E+10;;6,78E+09;1,41E+16
-4,82E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,82E+00;2,75E+10;2,09E+10;;6,59E+09;1,39E+16
-4,81E+00;2,80E+10;2,09E+10;;7,09E+09;1,39E+16
-4,81E+00;2,75E+10;2,09E+10;;6,59E+09;1,39E+16
-4,80E+00;2,80E+10;2,09E+10;;7,09E+09;1,39E+16
-4,80E+00;2,80E+10;2,09E+10;;7,09E+09;1,39E+16
-4,79E+00;2,80E+10;2,06E+10;;7,40E+09;1,37E+16
-4,79E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,78E+00;2,80E+10;2,06E+10;;7,40E+09;1,37E+16
-4,78E+00;2,80E+10;2,09E+10;;7,09E+09;1,39E+16
-4,77E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,77E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,76E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,76E+00;2,75E+10;2,06E+10;;6,90E+09;1,37E+16
-4,75E+00;2,70E+10;2,03E+10;;6,71E+09;1,35E+16
-4,75E+00;2,70E+10;2,03E+10;;6,71E+09;1,35E+16
-4,74E+00;2,70E+10;2,03E+10;;6,71E+09;1,35E+16
-4,74E+00;2,75E+10;2,03E+10;;7,21E+09;1,35E+16
-4,73E+00;2,70E+10;2,03E+10;;6,71E+09;1,35E+16
-4,73E+00;2,70E+10;2,03E+10;;6,71E+09;1,35E+16
-4,72E+00;2,70E+10;2,00E+10;;7,03E+09;1,33E+16
-4,72E+00;2,70E+10;2,00E+10;;7,03E+09;1,33E+16
-4,71E+00;2,65E+10;2,00E+10;;6,53E+09;1,33E+16
-4,71E+00;2,70E+10;2,00E+10;;7,03E+09;1,33E+16
-4,70E+00;2,70E+10;2,00E+10;;7,03E+09;1,33E+16
-4,70E+00;2,70E+10;2,00E+10;;7,03E+09;1,33E+16
-4,69E+00;2,65E+10;1,97E+10;;6,84E+09;1,31E+16
-4,69E+00;2,60E+10;2,00E+10;;6,03E+09;1,33E+16
-4,68E+00;2,60E+10;2,00E+10;;6,03E+09;1,33E+16
-4,68E+00;2,65E+10;1,97E+10;;6,84E+09;1,31E+16
-4,67E+00;2,60E+10;1,97E+10;;6,34E+09;1,31E+16
-4,67E+00;2,65E+10;1,97E+10;;6,84E+09;1,31E+16
-4,66E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,66E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,65E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,65E+00;2,60E+10;1,94E+10;;6,65E+09;1,29E+16
-4,64E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,64E+00;2,65E+10;1,87E+10;;7,78E+09;1,25E+16
-4,63E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,63E+00;2,60E+10;1,94E+10;;6,65E+09;1,29E+16
-4,62E+00;2,65E+10;1,94E+10;;7,15E+09;1,29E+16
-4,62E+00;2,65E+10;1,87E+10;;7,78E+09;1,25E+16
-4,61E+00;2,65E+10;1,91E+10;;7,46E+09;1,27E+16
-4,61E+00;2,60E+10;1,91E+10;;6,96E+09;1,27E+16
-4,60E+00;2,60E+10;1,91E+10;;6,96E+09;1,27E+16
-4,60E+00;2,60E+10;1,87E+10;;7,28E+09;1,25E+16
-4,59E+00;2,60E+10;1,91E+10;;6,96E+09;1,27E+16
