x-axis;1;2;;Segundo diodo;
second;Volt;Volt;;Vd;Id
-5,00E+00;3,00E+10;1,19E+10;;1,82E+10;1,12E+15
-5,00E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,99E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,99E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,98E+00;3,05E+10;1,25E+10;;1,80E+10;1,18E+15
-4,98E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,97E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,97E+00;3,05E+10;1,22E+10;;1,83E+10;1,15E+15
-4,96E+00;3,05E+10;1,25E+10;;1,80E+10;1,18E+15
-4,96E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,95E+00;3,05E+10;1,25E+10;;1,80E+10;1,18E+15
-4,95E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,94E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,94E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,93E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,93E+00;3,10E+10;1,28E+10;;1,82E+10;1,21E+15
-4,92E+00;3,10E+10;1,28E+10;;1,82E+10;1,21E+15
-4,92E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,91E+00;3,05E+10;1,28E+10;;1,77E+10;1,21E+15
-4,91E+00;3,10E+10;1,28E+10;;1,82E+10;1,21E+15
-4,90E+00;3,15E+10;1,31E+10;;1,84E+10;1,24E+15
-4,90E+00;3,15E+10;1,31E+10;;1,84E+10;1,24E+15
-4,89E+00;3,15E+10;1,31E+10;;1,84E+10;1,24E+15
-4,89E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,88E+00;3,20E+10;1,31E+10;;1,89E+10;1,24E+15
-4,88E+00;3,20E+10;1,31E+10;;1,89E+10;1,24E+15
-4,87E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,87E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,86E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,86E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,85E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,85E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,84E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,84E+00;3,20E+10;1,37E+10;;1,83E+10;1,29E+15
-4,83E+00;3,15E+10;1,34E+10;;1,81E+10;1,26E+15
-4,83E+00;3,20E+10;1,34E+10;;1,86E+10;1,26E+15
-4,82E+00;3,20E+10;1,31E+10;;1,89E+10;1,24E+15
-4,82E+00;3,25E+10;1,34E+10;;1,91E+10;1,26E+15
-4,81E+00;3,25E+10;1,34E+10;;1,91E+10;1,26E+15
-4,81E+00;3,20E+10;1,34E+10;;1,86E+10;1,26E+15
-4,80E+00;3,25E+10;1,37E+10;;1,88E+10;1,29E+15
-4,80E+00;3,25E+10;1,37E+10;;1,88E+10;1,29E+15
-4,79E+00;3,25E+10;1,37E+10;;1,88E+10;1,29E+15
-4,79E+00;3,30E+10;1,41E+10;;1,90E+10;1,33E+15
-4,78E+00;3,25E+10;1,37E+10;;1,88E+10;1,29E+15
-4,78E+00;3,25E+10;1,41E+10;;1,85E+10;1,33E+15
-4,77E+00;3,25E+10;1,41E+10;;1,85E+10;1,33E+15
-4,77E+00;3,25E+10;1,44E+10;;1,82E+10;1,36E+15
-4,76E+00;3,25E+10;1,41E+10;;1,85E+10;1,33E+15
-4,76E+00;3,25E+10;1,44E+10;;1,82E+10;1,36E+15
-4,75E+00;3,25E+10;1,44E+10;;1,82E+10;1,36E+15
-4,75E+00;3,25E+10;1,44E+10;;1,82E+10;1,36E+15
-4,74E+00;3,25E+10;1,44E+10;;1,82E+10;1,36E+15
-4,74E+00;3,25E+10;1,47E+10;;1,78E+10;1,39E+15
-4,73E+00;3,25E+10;1,47E+10;;1,78E+10;1,39E+15
-4,73E+00;3,35E+10;1,47E+10;;1,88E+10;1,39E+15
-4,72E+00;3,30E+10;1,47E+10;;1,83E+10;1,39E+15
-4,72E+00;3,30E+10;1,47E+10;;1,83E+10;1,39E+15
-4,71E+00;3,30E+10;1,47E+10;;1,83E+10;1,39E+15
-4,71E+00;3,35E+10;1,47E+10;;1,88E+10;1,39E+15
-4,70E+00;3,30E+10;1,47E+10;;1,83E+10;1,39E+15
