x-axis;1;2;;Tercer diodo;
second;Volt;Volt;;Vd;Id
-5,00E+00;4,00E+10;1,84E+10;;2,16E+10;8,85E+14
-5,00E+00;4,00E+10;1,87E+10;;2,13E+10;8,99E+14
-4,99E+00;4,00E+10;1,87E+10;;2,13E+10;8,99E+14
-4,99E+00;3,95E+10;1,87E+10;;2,08E+10;8,99E+14
-4,98E+00;4,00E+10;1,84E+10;;2,16E+10;8,85E+14
-4,98E+00;4,05E+10;1,87E+10;;2,18E+10;8,99E+14
-4,97E+00;4,05E+10;1,87E+10;;2,18E+10;8,99E+14
-4,97E+00;4,00E+10;1,87E+10;;2,13E+10;8,99E+14
-4,96E+00;4,00E+10;1,91E+10;;2,10E+10;9,18E+14
-4,96E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,95E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,95E+00;4,05E+10;1,87E+10;;2,18E+10;8,99E+14
-4,94E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,94E+00;4,00E+10;1,91E+10;;2,10E+10;9,18E+14
-4,93E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,93E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,92E+00;4,00E+10;1,91E+10;;2,10E+10;9,18E+14
-4,92E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,91E+00;4,05E+10;1,91E+10;;2,15E+10;9,18E+14
-4,91E+00;4,00E+10;1,94E+10;;2,07E+10;9,33E+14
-4,90E+00;4,10E+10;1,94E+10;;2,17E+10;9,33E+14
-4,90E+00;4,10E+10;1,94E+10;;2,17E+10;9,33E+14
-4,89E+00;4,10E+10;1,94E+10;;2,17E+10;9,33E+14
-4,89E+00;4,10E+10;1,94E+10;;2,17E+10;9,33E+14
-4,88E+00;4,10E+10;1,94E+10;;2,17E+10;9,33E+14
-4,88E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,87E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,87E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,86E+00;4,05E+10;1,97E+10;;2,08E+10;9,47E+14
-4,86E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,85E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,85E+00;4,05E+10;2,00E+10;;2,05E+10;9,62E+14
-4,84E+00;4,10E+10;1,97E+10;;2,13E+10;9,47E+14
-4,84E+00;4,05E+10;1,97E+10;;2,08E+10;9,47E+14
-4,83E+00;4,10E+10;2,00E+10;;2,10E+10;9,62E+14
-4,83E+00;4,05E+10;2,00E+10;;2,05E+10;9,62E+14
-4,82E+00;4,15E+10;2,00E+10;;2,15E+10;9,62E+14
-4,82E+00;4,10E+10;2,00E+10;;2,10E+10;9,62E+14
-4,81E+00;4,15E+10;2,00E+10;;2,15E+10;9,62E+14
-4,81E+00;4,15E+10;2,00E+10;;2,15E+10;9,62E+14
-4,80E+00;4,15E+10;2,00E+10;;2,15E+10;9,62E+14
-4,80E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,79E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,79E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,78E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,78E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,77E+00;4,15E+10;2,03E+10;;2,12E+10;9,76E+14
-4,77E+00;4,20E+10;2,03E+10;;2,17E+10;9,76E+14
-4,76E+00;4,20E+10;2,03E+10;;2,17E+10;9,76E+14
-4,76E+00;4,20E+10;2,06E+10;;2,14E+10;9,90E+14
-4,75E+00;4,20E+10;2,03E+10;;2,17E+10;9,76E+14
-4,75E+00;4,20E+10;2,06E+10;;2,14E+10;9,90E+14
-4,74E+00;4,20E+10;2,06E+10;;2,14E+10;9,90E+14
-4,74E+00;4,25E+10;2,06E+10;;2,19E+10;9,90E+14
-4,73E+00;4,20E+10;2,09E+10;;2,11E+10;1,00E+15
-4,73E+00;4,20E+10;2,06E+10;;2,14E+10;9,90E+14
-4,72E+00;4,25E+10;2,06E+10;;2,19E+10;9,90E+14
-4,72E+00;4,20E+10;2,09E+10;;2,11E+10;1,00E+15
-4,71E+00;4,25E+10;2,09E+10;;2,16E+10;1,00E+15
-4,71E+00;4,25E+10;2,09E+10;;2,16E+10;1,00E+15
-4,70E+00;4,20E+10;2,09E+10;;2,11E+10;1,00E+15
-4,70E+00;4,20E+10;2,09E+10;;2,11E+10;1,00E+15
-4,69E+00;4,25E+10;2,12E+10;;2,13E+10;1,02E+15
-4,69E+00;4,25E+10;2,09E+10;;2,16E+10;1,00E+15
-4,68E+00;4,25E+10;2,12E+10;;2,13E+10;1,02E+15
-4,68E+00;4,25E+10;2,12E+10;;2,13E+10;1,02E+15
-4,67E+00;4,20E+10;2,09E+10;;2,11E+10;1,00E+15
-4,67E+00;4,25E+10;2,12E+10;;2,13E+10;1,02E+15
-4,66E+00;4,20E+10;2,12E+10;;2,08E+10;1,02E+15
-4,66E+00;4,20E+10;2,16E+10;;2,05E+10;1,04E+15
-4,65E+00;4,30E+10;2,16E+10;;2,15E+10;1,04E+15
-4,65E+00;4,20E+10;2,16E+10;;2,05E+10;1,04E+15
-4,64E+00;4,25E+10;2,16E+10;;2,10E+10;1,04E+15
-4,64E+00;4,35E+10;2,12E+10;;2,23E+10;1,02E+15
-4,63E+00;4,30E+10;2,16E+10;;2,15E+10;1,04E+15
-4,63E+00;4,30E+10;2,16E+10;;2,15E+10;1,04E+15
-4,62E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
-4,62E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-4,61E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-4,61E+00;4,35E+10;2,19E+10;;2,17E+10;1,05E+15
-4,60E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-4,60E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
-4,59E+00;4,30E+10;2,16E+10;;2,15E+10;1,04E+15
-4,59E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
-4,58E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
-4,58E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-4,57E+00;4,35E+10;2,19E+10;;2,17E+10;1,05E+15
-4,57E+00;4,40E+10;2,19E+10;;2,22E+10;1,05E+15
-4,56E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-4,56E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-4,55E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-4,55E+00;4,40E+10;2,19E+10;;2,22E+10;1,05E+15
-4,54E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-4,54E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-4,53E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-4,53E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-4,52E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-4,52E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,51E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,51E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-4,50E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,50E+00;4,45E+10;2,28E+10;;2,17E+10;1,10E+15
-4,49E+00;4,40E+10;2,28E+10;;2,12E+10;1,10E+15
-4,49E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,48E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,48E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-4,47E+00;4,45E+10;2,28E+10;;2,17E+10;1,10E+15
-4,47E+00;4,45E+10;2,25E+10;;2,20E+10;1,08E+15
-4,46E+00;4,50E+10;2,28E+10;;2,22E+10;1,10E+15
-4,46E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-4,45E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,45E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,44E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,44E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,43E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,43E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-4,42E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,42E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,41E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,41E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-4,40E+00;4,50E+10;2,31E+10;;2,19E+10;1,11E+15
-4,40E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-4,39E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-4,39E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-4,38E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,38E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-4,37E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,37E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,36E+00;4,60E+10;2,41E+10;;2,20E+10;1,16E+15
-4,36E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-4,35E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,35E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,34E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,34E+00;4,60E+10;2,41E+10;;2,20E+10;1,16E+15
-4,33E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-4,33E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-4,32E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-4,32E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-4,31E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-4,31E+00;4,60E+10;2,41E+10;;2,20E+10;1,16E+15
-4,30E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-4,30E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-4,29E+00;4,55E+10;2,44E+10;;2,12E+10;1,17E+15
-4,29E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-4,28E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-4,28E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-4,27E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-4,27E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-4,26E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-4,26E+00;4,65E+10;2,44E+10;;2,22E+10;1,17E+15
-4,25E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-4,25E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-4,24E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-4,24E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-4,23E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-4,23E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-4,22E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-4,22E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,21E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,21E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,20E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,20E+00;4,65E+10;2,53E+10;;2,12E+10;1,22E+15
-4,19E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,19E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-4,18E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-4,18E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-4,17E+00;4,75E+10;2,53E+10;;2,22E+10;1,22E+15
-4,17E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,16E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-4,16E+00;4,70E+10;2,56E+10;;2,14E+10;1,23E+15
-4,15E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,15E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,14E+00;4,70E+10;2,56E+10;;2,14E+10;1,23E+15
-4,14E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,13E+00;4,80E+10;2,56E+10;;2,24E+10;1,23E+15
-4,13E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,12E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-4,12E+00;4,80E+10;2,59E+10;;2,21E+10;1,25E+15
-4,11E+00;4,80E+10;2,59E+10;;2,21E+10;1,25E+15
-4,11E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-4,10E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-4,10E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-4,09E+00;4,80E+10;2,56E+10;;2,24E+10;1,23E+15
-4,09E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-4,08E+00;4,80E+10;2,59E+10;;2,21E+10;1,25E+15
-4,08E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,07E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,07E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,06E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,06E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,05E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,05E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-4,04E+00;4,90E+10;2,62E+10;;2,28E+10;1,26E+15
-4,04E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,03E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,03E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,02E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,02E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,01E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,01E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,00E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-4,00E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,99E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,99E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,98E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,98E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,97E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,97E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,96E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,96E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,95E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,95E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,94E+00;4,95E+10;2,69E+10;;2,27E+10;1,29E+15
-3,94E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,93E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,93E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,92E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
